rec_id,driver_id,T,a,b,v0,v_average
1,814,5.0,1.011,1.06,32.21,30.516
1,842,4.45,0.106,0.873,40.053,35.316
1,860,1.215,5.0,2.273,40.906,34.091
1,884,1.419,0.891,4.996,28.644,23.904
1,912,0.5,0.181,5.0,38.302,23.53
1,914,2.101,0.414,3.926,38.201,23.439
1,935,0.5,0.156,5.0,41.057,25.385
1,939,4.828,0.338,0.127,32.016,31.249
1,945,0.507,1.149,5.0,40.182,23.756
1,952,3.914,0.729,3.09,33.654,26.579
1,970,1.638,0.276,4.039,32.471,23.864
1,977,0.5,3.367,5.0,41.667,26.706
1,1007,0.5,0.1,4.753,41.332,36.558
1,1008,0.5,0.407,4.23,40.421,21.529
1,1012,0.5,5.0,5.0,41.667,27.689
1,1029,0.5,5.0,5.0,39.001,30.948
1,1035,0.5,4.857,0.76,41.57,37.42
2,12,4.448,0.156,0.483,37.39,32.814
2,22,0.574,0.221,4.246,29.524,21.486
2,24,0.5,5.0,2.996,41.667,32.144
2,51,1.192,2.795,4.999,35.083,32.469
2,62,0.5,0.13,1.857,40.465,24.188
2,75,0.5,0.228,5.0,40.502,26.676
2,76,3.511,2.019,1.543,31.932,21.527
2,89,1.899,0.1,0.173,39.156,30.193
2,101,5.0,1.365,0.122,38.243,27.167
2,107,2.126,0.164,2.004,27.371,25.767
2,113,0.5,1.063,5.0,41.321,30.299
2,136,0.5,5.0,5.0,41.667,28.463
2,149,3.755,4.146,3.682,41.145,28.922
2,155,0.5,1.733,5.0,41.667,36.214
2,187,5.0,0.273,0.1,39.241,34.21
2,241,0.774,0.665,5.0,41.274,24.508
2,243,4.866,0.532,5.0,41.667,30.162
2,244,0.87,2.702,0.636,41.667,36.466
2,251,3.094,4.44,3.04,36.73,33.913
2,256,4.115,1.094,0.767,41.667,32.315
2,273,0.731,0.504,1.671,36.735,26.546
2,279,3.24,3.13,3.341,40.741,31.886
2,290,0.5,4.359,4.991,34.1,30.372
2,294,0.5,0.1,5.0,41.667,37.002
2,303,2.288,4.883,4.553,41.638,34.104
2,319,5.0,0.319,0.1,31.27,27.434
2,325,2.253,0.147,0.113,41.653,34.497
2,338,1.388,0.466,4.999,33.146,23.068
2,340,0.58,0.1,5.0,27.222,23.111
2,342,0.5,0.1,5.0,28.424,24.594
2,360,1.109,1.304,3.166,40.459,35.039
2,376,0.5,0.256,4.946,31.039,22.302
2,387,0.5,0.1,5.0,34.419,30.38
2,395,0.855,4.782,4.693,35.662,33.925
2,409,4.566,4.994,2.888,25.231,24.078
2,448,0.547,5.0,5.0,30.32,29.767
2,454,1.01,0.357,5.0,41.372,30.802
2,456,0.5,0.1,5.0,42.021,39.214
2,469,1.447,0.1,4.977,30.783,29.669
2,480,1.506,0.162,0.964,32.537,23.735
2,483,4.055,0.1,3.175,41.667,35.989
2,486,0.5,0.332,5.0,41.667,24.165
2,499,0.983,1.289,3.677,34.308,27.19
2,503,0.5,0.1,5.0,41.667,27.383
2,507,1.581,0.426,0.951,35.29,23.524
2,517,4.45,4.905,0.328,41.667,25.228
2,536,0.639,4.228,1.555,38.107,32.425
2,537,1.677,3.809,3.374,40.985,31.135
2,553,1.131,2.543,4.743,41.506,31.975
2,567,5.0,5.0,5.0,32.18,31.147
2,569,1.364,3.941,5.0,41.667,31.326
2,570,0.519,1.112,2.194,41.076,33.917
2,616,0.5,5.0,4.32,41.667,30.81
2,640,2.708,1.947,1.632,34.46,27.795
2,643,3.341,5.0,5.0,41.667,32.379
2,644,0.5,0.1,2.408,41.667,31.908
2,651,0.503,1.818,5.0,41.534,29.106
2,662,3.825,2.057,4.109,41.636,27.352
2,665,0.5,5.0,5.0,41.667,29.637
2,668,5.0,3.173,5.0,30.36,28.763
2,670,1.665,4.54,2.887,28.848,28.467
2,701,0.5,1.611,0.968,41.667,30.074
2,708,4.06,4.981,0.778,41.667,29.347
2,720,0.5,3.367,5.0,41.667,30.06
2,745,0.507,3.663,5.0,37.002,29.944
2,763,2.178,5.0,0.131,41.667,30.818
2,802,0.5,0.1,5.0,41.667,26.431
2,806,4.861,4.862,2.058,38.62,30.931
2,814,4.988,0.104,0.124,33.274,31.313
2,815,2.412,0.1,0.803,41.667,34.874
2,826,0.5,0.129,4.614,41.975,39.529
2,832,2.813,0.1,0.218,32.329,27.766
2,843,0.78,0.1,5.0,44.026,39.367
2,846,0.5,5.0,5.0,41.667,32.806
2,847,5.0,0.768,0.1,37.895,35.717
2,878,0.547,0.425,4.972,38.835,29.253
2,881,5.0,0.464,0.574,28.88,28.665
2,888,0.598,5.0,5.0,40.299,33.101
2,896,0.5,0.1,4.2,41.667,36.627
2,902,0.5,1.583,5.0,41.667,34.384
2,935,0.5,5.0,5.0,41.667,34.652
2,965,0.5,5.0,5.0,41.667,29.401
2,970,0.5,1.286,5.0,40.93,34.449
2,975,0.5,5.0,5.0,41.667,34.445
2,978,0.91,5.0,0.531,30.981,27.564
2,986,0.5,0.1,5.0,41.667,24.177
2,1003,1.138,0.1,5.0,27.062,24.308
2,1004,0.82,0.289,1.366,41.312,32.368
2,1026,4.121,3.695,0.218,41.003,32.74
2,1044,5.0,1.424,5.0,36.77,35.877
2,1049,2.81,0.891,3.409,41.322,21.761
2,1052,0.5,2.49,5.0,41.667,24.306
2,1056,0.5,5.0,5.0,32.192,23.611
2,1062,0.501,4.051,5.0,20.603,19.971
2,1094,4.087,5.0,4.231,41.667,29.019
3,30,5.0,5.0,2.739,30.66,30.38
3,47,5.0,0.1,2.049,43.344,40.072
3,75,2.803,0.1,0.197,40.843,29.87
3,100,1.334,1.734,4.348,41.567,33.297
3,106,0.52,0.1,2.923,41.895,39.446
3,114,0.685,4.553,4.054,41.78,39.157
3,116,0.5,5.0,5.0,41.667,33.332
3,125,1.065,0.866,1.181,39.722,28.081
3,134,0.5,1.622,5.0,41.667,37.614
3,140,0.5,5.0,5.0,41.667,32.653
3,142,0.797,0.282,5.0,40.206,31.974
3,156,2.114,0.1,5.0,37.752,25.732
3,158,0.5,0.908,0.108,41.497,36.811
3,162,0.561,0.702,0.163,40.654,38.36
3,165,0.893,2.815,1.067,41.667,36.683
3,171,0.953,5.0,5.0,41.667,31.104
3,174,0.618,2.594,1.93,41.667,34.306
3,177,1.302,1.714,3.951,41.142,39.721
3,218,4.463,0.164,4.416,39.932,25.615
3,219,0.5,5.0,1.103,41.667,22.792
3,221,4.979,0.527,0.1,40.651,30.029
3,234,0.996,0.1,3.456,37.251,34.971
3,256,0.5,0.33,3.403,38.025,28.646
3,276,0.5,5.0,5.0,41.667,32.199
3,299,5.0,1.036,5.0,36.38,34.428
3,320,0.5,3.367,5.0,37.288,30.079
3,328,0.974,1.858,1.168,39.986,30.671
3,358,0.597,0.1,0.1,41.505,32.64
3,391,3.906,0.17,0.899,33.185,31.685
3,394,1.337,0.362,3.909,30.392,25.756
3,397,0.636,2.342,5.0,34.45,24.514
3,407,0.5,5.0,5.0,41.667,35.11
3,419,1.517,0.779,4.013,40.253,32.031
3,423,0.5,5.0,5.0,41.667,34.369
3,430,0.5,2.735,5.0,41.667,28.532
3,431,0.5,0.1,5.0,41.667,31.679
3,460,1.063,1.565,4.942,38.941,28.24
3,470,0.5,5.0,5.0,41.667,31.358
3,473,0.5,5.0,5.0,41.667,34.625
3,486,5.0,3.894,0.1,35.55,34.93
3,499,2.879,0.162,0.467,42.188,40.094
3,506,2.579,3.839,0.181,40.752,38.164
3,521,1.651,0.1,1.008,41.667,34.206
3,538,2.378,3.43,0.113,41.439,37.772
3,545,1.463,5.0,5.0,41.667,30.132
3,559,0.816,1.149,0.721,41.667,34.335
3,567,0.5,0.1,5.0,41.667,36.758
3,570,0.5,5.0,5.0,41.667,34.938
3,579,2.583,1.739,5.0,41.667,34.098
3,592,0.5,5.0,5.0,33.625,29.694
3,610,4.777,0.1,0.576,41.142,37.823
3,618,0.5,0.1,5.0,41.667,37.897
3,630,1.264,2.063,2.2,35.827,35.261
3,632,0.506,5.0,0.1,41.667,36.044
3,663,2.064,3.023,3.535,41.667,32.208
3,668,0.628,5.0,5.0,41.667,32.011
3,669,1.02,5.0,3.171,39.7,38.968
3,682,1.159,2.481,1.217,41.292,37.59
3,691,2.0,2.028,1.733,36.472,29.06
3,697,0.712,3.572,4.391,30.059,22.986
3,698,0.5,1.984,1.758,41.667,31.996
3,710,3.408,2.169,1.033,37.583,30.361
3,715,0.5,5.0,5.0,41.667,33.13
3,733,0.5,5.0,5.0,41.667,36.655
3,738,0.5,0.1,5.0,40.498,39.278
3,753,0.5,0.1,5.0,41.667,25.901
3,761,0.874,1.728,0.891,41.666,36.041
3,783,2.581,1.764,0.23,31.405,23.279
3,787,1.556,3.913,4.804,29.889,23.307
3,792,0.5,0.1,5.0,41.667,27.401
3,809,0.837,1.123,3.865,32.009,29.077
3,823,0.578,4.001,5.0,41.667,32.904
3,825,5.0,0.305,1.655,41.667,36.586
3,832,1.385,1.75,4.789,38.551,27.289
3,870,0.854,5.0,5.0,37.962,25.323
3,872,0.991,0.908,3.38,34.397,22.952
3,890,1.089,0.1,1.645,41.667,36.56
3,902,3.264,0.1,5.0,40.43,34.643
3,904,0.5,5.0,5.0,41.086,38.458
4,14,0.726,5.0,3.49,30.399,28.501
4,38,4.773,2.009,0.448,40.977,35.854
4,46,0.574,3.764,2.41,39.962,30.124
4,48,0.653,1.623,1.808,40.689,34.267
4,62,0.5,5.0,5.0,38.075,33.63
4,76,1.286,3.003,5.0,41.65,34.478
4,95,0.5,1.245,1.233,32.48,28.954
4,106,4.897,4.444,0.23,40.329,39.086
4,107,0.5,0.494,1.667,32.063,24.949
4,121,0.5,5.0,5.0,41.667,31.404
4,129,0.5,5.0,5.0,36.264,30.061
4,134,0.5,1.733,5.0,41.667,27.852
4,145,3.735,0.141,3.367,36.637,33.326
4,146,1.663,3.958,3.765,39.666,28.819
4,158,0.5,5.0,5.0,41.667,35.331
4,160,3.141,0.1,0.1,42.463,39.606
4,172,1.679,4.999,5.0,39.819,32.975
4,184,4.902,0.985,0.338,41.667,33.988
4,188,4.094,0.1,0.445,26.399,25.687
4,200,0.504,5.0,4.716,40.909,35.732
4,205,0.5,3.659,5.0,41.667,36.319
4,209,0.5,5.0,5.0,41.667,37.211
4,218,0.5,0.1,5.0,41.667,36.62
4,225,1.595,1.322,4.695,40.329,26.164
4,288,5.0,0.218,0.914,41.618,30.355
4,301,5.0,0.32,0.1,34.382,32.356
4,305,0.5,1.892,3.264,41.667,29.631
4,317,4.881,1.733,0.562,31.563,24.841
4,330,0.774,0.159,2.885,41.121,35.565
4,342,0.524,0.397,0.498,33.333,25.467
4,347,2.313,0.569,2.655,39.991,34.062
4,356,1.783,0.516,3.712,37.632,24.656
4,372,0.841,0.496,0.763,39.631,29.121
4,400,3.733,2.506,5.0,23.788,23.426
4,405,1.153,1.199,5.0,40.7,22.514
4,412,3.94,4.035,4.001,41.667,28.71
4,418,0.921,0.117,5.0,32.958,24.459
4,426,0.5,0.1,5.0,41.667,30.246
4,430,4.912,5.0,5.0,27.45,24.652
4,434,0.702,0.1,5.0,41.667,29.488
4,436,2.797,5.0,0.1,35.506,35.08
4,440,0.5,3.858,5.0,42.84,39.425
4,450,1.188,3.74,4.417,41.667,32.443
4,453,4.896,5.0,5.0,35.266,33.938
4,454,5.0,1.622,5.0,33.16,32.409
4,459,2.031,1.363,1.652,40.528,33.524
4,465,0.933,5.0,1.968,41.667,38.228
4,476,0.5,1.784,5.0,33.333,23.753
4,483,0.5,1.797,5.0,41.667,33.199
4,489,4.984,0.273,0.945,37.791,27.909
4,494,2.765,0.668,2.392,40.818,32.853
4,517,2.848,4.526,1.669,33.302,23.699
4,531,1.991,0.801,4.777,31.77,25.065
4,537,1.505,0.421,2.706,30.86,25.076
4,538,3.386,1.367,2.19,33.276,23.29
4,549,1.463,1.11,4.112,38.544,24.376
4,551,0.5,5.0,5.0,43.418,40.585
4,576,0.5,5.0,0.324,41.667,33.191
4,578,0.5,5.0,5.0,41.667,31.723
4,579,5.0,0.137,0.191,39.821,36.114
4,581,2.244,5.0,5.0,40.188,26.945
4,595,3.5,0.639,3.367,36.4,35.843
4,600,5.0,0.1,1.707,41.524,34.473
4,606,4.952,3.687,4.134,33.333,22.527
4,610,5.0,2.727,5.0,33.63,33.465
4,612,0.5,5.0,5.0,41.667,33.714
4,618,0.5,0.92,5.0,41.667,30.372
4,620,0.514,5.0,3.239,41.653,31.312
4,625,0.5,0.696,3.497,41.667,27.187
4,629,3.032,1.674,4.407,39.156,28.524
4,632,0.5,1.507,0.715,37.881,28.681
4,639,0.5,3.367,5.0,41.667,37.653
4,679,1.038,2.209,4.711,33.333,25.479
4,690,5.0,2.231,0.1,29.38,29.04
4,695,0.558,5.0,1.242,32.13,31.522
4,696,4.601,0.1,0.329,41.364,36.038
4,700,1.297,4.111,1.019,30.403,25.816
4,701,0.504,0.1,5.0,29.458,26.137
4,707,0.5,0.1,5.0,41.667,38.647
4,710,4.991,0.183,0.174,31.02,28.894
4,716,3.814,4.868,4.619,41.294,36.137
4,725,0.5,0.293,5.0,41.14,37.506
4,735,1.257,0.705,1.253,40.842,35.347
4,736,0.5,1.637,2.341,33.333,24.851
4,750,0.5,0.892,5.0,41.667,36.284
4,751,2.25,2.552,1.912,41.667,22.331
4,773,2.409,0.83,5.0,25.05,24.766
4,795,1.159,0.1,4.742,22.861,22.203
4,805,0.503,4.493,5.0,41.667,34.588
4,811,0.5,5.0,1.694,41.667,25.528
4,812,5.0,1.787,5.0,30.77,30.354
4,813,1.702,0.525,3.94,35.918,24.355
4,822,0.5,0.1,5.0,31.536,25.256
4,828,0.5,5.0,5.0,48.321,41.782
4,832,0.5,5.0,5.0,41.667,37.251
4,845,1.858,4.959,1.699,41.322,29.232
4,846,0.5,5.0,5.0,41.667,32.813
4,847,5.0,0.454,0.903,40.144,30.708
4,851,1.427,5.0,4.45,41.667,36.823
4,856,3.012,5.0,4.08,41.667,33.116
4,874,1.182,0.8,5.0,39.508,24.603
4,876,0.676,3.89,5.0,40.755,24.966
4,880,0.575,4.145,2.76,38.819,28.679
4,884,0.5,5.0,2.435,41.667,32.964
4,889,1.893,0.1,3.367,37.728,34.863
4,896,4.611,0.214,0.554,39.491,37.005
4,905,0.5,3.367,5.0,41.667,30.37
4,910,5.0,0.634,0.113,39.931,34.345
4,920,0.5,0.1,0.293,41.667,26.692
4,934,0.955,5.0,4.67,41.65,23.153
4,945,2.317,2.73,1.411,34.267,25.198
4,951,3.472,0.744,2.755,35.229,32.78
4,958,5.0,5.0,0.1,36.32,35.872
4,972,1.532,4.969,2.376,39.977,36.615
4,1004,3.671,2.362,4.912,26.015,25.127
4,1006,3.82,4.169,2.245,37.929,34.371
4,1019,5.0,0.1,5.0,42.021,39.157
4,1022,0.602,0.157,3.382,39.547,22.034
4,1025,5.0,0.134,3.424,24.96,24.63
4,1040,0.5,5.0,4.966,41.667,35.531
4,1058,3.115,1.715,4.348,40.512,28.924
4,1080,4.332,2.008,1.953,38.927,27.32
4,1091,1.217,5.0,1.362,37.975,28.927
4,1100,0.544,5.0,5.0,41.667,30.963
4,1113,0.5,4.166,4.979,41.667,33.938
4,1117,1.016,0.1,5.0,24.514,22.688
4,1135,0.5,4.85,4.992,37.199,33.561
4,1140,0.665,3.838,1.321,33.333,25.16
5,23,0.5,5.0,5.0,41.667,36.379
5,26,5.0,0.153,0.1,41.643,38.256
5,79,5.0,1.913,5.0,34.4,33.149
5,82,1.146,3.236,5.0,44.004,40.78
5,87,0.679,5.0,5.0,39.647,33.135
5,100,0.5,5.0,1.412,41.667,36.148
5,107,0.5,5.0,1.928,35.424,30.775
5,109,1.382,1.974,2.363,32.206,24.662
5,114,1.176,4.642,3.526,41.667,34.64
5,121,0.585,3.367,0.954,42.168,39.463
5,147,0.976,2.695,0.63,41.031,35.817
5,162,0.737,2.545,5.0,34.64,31.776
5,163,0.599,5.0,5.0,33.333,25.016
5,164,0.5,0.1,5.0,41.667,32.906
5,179,3.78,1.384,1.847,33.333,25.485
5,184,1.029,5.0,0.762,41.667,34.231
5,199,4.576,0.205,5.0,41.667,34.143
5,206,1.053,2.691,4.35,33.121,24.35
5,239,5.0,1.378,5.0,40.94,40.481
5,243,4.49,1.016,0.344,40.299,28.892
5,244,4.493,0.127,0.184,40.474,35.276
5,247,3.031,4.742,4.041,41.667,34.3
5,282,5.0,0.1,0.99,41.667,34.841
5,284,0.916,5.0,3.562,33.333,23.569
5,285,0.5,1.645,5.0,33.333,25.02
5,286,0.5,1.584,5.0,41.667,29.705
5,290,0.759,5.0,4.693,33.333,29.56
5,293,0.936,5.0,2.486,33.333,24.09
5,294,0.5,5.0,5.0,41.667,32.925
5,301,1.447,1.833,5.0,35.651,23.725
5,302,1.858,1.692,3.574,41.173,23.653
5,319,3.753,1.164,4.996,38.91,36.628
5,321,0.5,5.0,3.406,41.667,33.868
5,327,0.934,1.435,0.364,41.667,29.945
5,336,1.422,0.1,0.44,41.038,33.778
5,340,5.0,0.26,4.246,40.49,32.035
5,357,3.251,0.685,1.164,36.802,22.759
5,370,4.547,0.897,0.1,36.982,24.601
5,372,0.966,0.157,4.075,32.059,23.978
5,401,0.5,3.367,5.0,41.667,31.115
5,407,0.5,5.0,5.0,41.667,35.795
5,412,4.91,2.455,0.971,31.595,23.898
5,419,2.967,0.988,0.138,41.429,36.415
5,437,3.355,0.135,5.0,30.193,25.26
5,440,0.736,0.609,1.802,41.647,38.58
5,447,5.0,5.0,5.0,38.25,37.138
5,465,2.165,5.0,3.129,37.941,36.651
5,481,2.656,0.852,0.983,31.295,25.343
5,486,4.039,0.338,1.406,35.685,21.791
5,497,4.511,5.0,3.93,41.667,28.594
5,505,4.505,0.962,0.456,31.837,24.742
5,511,2.101,1.0,3.016,38.432,28.461
5,513,0.903,0.1,4.852,26.446,25.301
5,520,0.5,5.0,5.0,34.521,28.444
5,525,3.971,5.0,5.0,30.934,30.291
5,526,0.5,5.0,5.0,41.667,25.329
5,538,5.0,5.0,0.1,35.79,35.428
5,554,0.534,5.0,3.331,36.811,36.583
5,566,0.5,0.1,5.0,41.667,25.303
5,567,0.5,0.1,5.0,27.758,25.162
5,574,4.294,1.684,5.0,37.572,23.818
5,578,0.5,2.197,5.0,41.667,27.747
5,579,3.841,1.003,5.0,40.127,23.274
5,586,2.521,0.982,0.291,31.765,24.944
5,609,4.439,1.26,0.209,31.773,24.849
5,611,1.825,1.287,1.255,39.566,23.542
5,616,5.0,4.799,0.224,41.667,32.187
5,617,5.0,0.342,5.0,31.52,31.123
5,626,2.345,3.661,0.36,38.644,25.896
5,633,1.197,1.301,2.473,31.631,24.801
5,637,0.5,0.1,5.0,41.667,28.66
5,638,1.124,0.387,1.089,31.199,24.027
5,648,1.28,0.435,1.593,40.05,32.699
5,655,5.0,0.1,0.286,41.385,28.66
5,660,2.672,4.871,1.22,41.667,31.38
5,680,0.5,5.0,5.0,41.667,36.249
5,706,0.543,5.0,5.0,41.667,26.357
5,711,4.948,1.093,1.784,38.931,35.892
5,726,0.5,5.0,5.0,40.069,35.417
5,733,0.767,5.0,4.137,33.333,23.356
5,735,2.407,3.866,3.456,32.73,29.533
5,746,3.722,2.823,0.1,41.667,36.529
5,777,1.431,1.321,4.788,41.667,33.941
5,791,0.5,3.048,5.0,24.235,22.791
5,794,0.658,5.0,5.0,31.718,25.182
5,798,2.246,4.543,4.332,39.863,32.429
5,804,1.798,5.0,0.76,35.432,34.723
5,809,0.5,5.0,3.528,33.333,23.13
5,810,0.823,4.915,5.0,32.537,23.632
5,813,1.858,4.959,3.574,41.476,28.84
5,818,0.5,1.042,2.085,41.145,37.408
5,821,5.0,1.206,0.1,26.6,26.076
5,833,3.5,0.483,3.659,29.97,29.475
5,836,0.5,5.0,5.0,38.646,31.449
5,844,0.5,5.0,3.581,33.333,24.937
5,846,5.0,0.127,1.032,41.337,31.177
5,849,0.5,5.0,5.0,41.667,33.015
5,859,0.5,5.0,5.0,48.195,40.091
5,868,0.5,5.0,5.0,41.667,37.622
5,877,2.408,4.999,3.516,37.404,35.927
5,879,0.5,5.0,0.1,41.344,35.278
5,880,0.839,0.434,5.0,38.709,25.815
5,928,2.047,4.977,0.506,40.785,28.51
5,931,3.817,0.252,0.139,41.124,38.286
5,936,0.5,5.0,5.0,36.766,29.118
5,947,5.0,0.1,3.645,41.667,36.406
5,952,0.5,0.1,5.0,42.399,38.311
5,967,3.023,0.116,5.0,24.253,22.231
5,971,0.751,0.277,4.492,31.292,30.315
5,979,1.179,2.054,4.741,41.667,28.924
5,985,0.5,5.0,2.416,33.333,23.771
5,992,5.0,0.681,5.0,33.44,31.978
5,993,1.141,0.1,4.637,31.173,24.59
5,995,0.5,0.1,2.773,41.667,30.73
5,997,0.986,0.558,5.0,33.03,24.635
5,1001,1.785,4.421,5.0,41.667,30.508
5,1023,1.936,0.777,5.0,40.284,31.962
5,1024,1.807,1.268,0.403,31.78,24.76
5,1025,0.5,0.1,5.0,41.667,36.699
5,1033,4.765,0.1,0.435,39.92,30.47
5,1036,5.0,5.0,0.1,30.85,29.258
5,1055,0.5,5.0,5.0,41.667,34.042
5,1056,2.357,0.402,1.831,31.236,23.784
5,1085,0.5,5.0,0.917,41.667,29.793
5,1092,1.774,4.301,1.768,41.667,31.072
5,1127,2.611,5.0,4.007,37.341,35.812
5,1128,1.996,0.146,3.412,27.583,22.597
5,1139,5.0,0.124,0.317,33.36,28.654
5,1140,0.5,5.0,5.0,36.004,34.013
5,1152,0.5,5.0,5.0,43.113,40.28
5,1155,0.739,5.0,4.534,41.667,25.311
5,1172,4.945,0.177,5.0,41.667,27.297
5,1174,0.5,0.1,5.0,33.333,24.289
5,1175,0.764,1.801,1.219,41.662,36.828
6,19,0.5,5.0,5.0,41.667,31.431
6,21,1.973,1.847,4.928,40.091,27.206
6,36,2.514,3.547,2.113,39.183,37.268
6,37,0.986,0.1,1.646,41.667,34.061
6,41,0.5,4.067,5.0,41.667,34.673
6,55,0.5,5.0,5.0,41.667,36.131
6,58,4.211,0.415,0.1,41.667,35.863
6,65,0.5,0.1,5.0,41.667,39.314
6,68,0.872,0.103,5.0,41.667,34.993
6,74,3.96,0.1,0.985,30.778,29.204
6,80,4.785,0.161,0.1,35.199,33.567
6,83,0.5,5.0,1.145,41.667,33.222
6,84,0.5,5.0,5.0,41.667,37.484
6,102,1.692,0.1,5.0,36.403,32.363
6,104,2.606,0.827,4.767,37.834,23.557
6,106,2.722,0.134,2.211,40.659,34.687
6,107,5.0,1.794,3.423,31.349,28.638
6,116,1.799,5.0,4.37,35.709,34.24
6,127,0.502,3.622,0.321,38.077,26.149
6,133,0.5,0.1,5.0,41.667,34.714
6,135,3.397,0.371,0.832,28.095,23.759
6,140,0.5,1.431,0.1,41.249,34.377
6,151,0.5,5.0,5.0,42.746,39.127
6,156,5.0,0.578,5.0,27.93,26.207
6,167,0.5,5.0,1.318,41.667,32.991
6,178,2.589,0.259,1.374,31.827,24.051
6,179,1.72,1.566,4.035,31.321,25.377
6,180,0.5,5.0,5.0,41.667,35.72
6,189,2.912,3.087,5.0,30.559,25.23
6,193,3.63,0.1,0.505,41.667,34.936
6,195,0.5,0.741,5.0,41.667,35.383
6,200,0.5,5.0,1.035,41.667,35.679
6,201,0.5,5.0,2.892,35.16,34.686
6,211,4.753,4.562,2.28,41.667,35.912
6,213,3.746,0.1,0.1,45.114,39.486
6,214,1.728,0.126,1.864,32.833,27.031
6,223,0.5,0.1,3.441,41.667,32.243
6,240,2.177,1.479,5.0,33.326,23.197
6,247,3.874,2.2,0.1,41.241,34.102
6,249,3.304,0.533,5.0,38.275,22.064
6,262,5.0,0.897,0.1,38.791,35.308
6,268,0.5,1.514,4.978,41.624,38.526
6,286,1.119,5.0,0.897,41.667,34.693
6,289,0.5,2.731,5.0,42.262,39.267
6,290,5.0,5.0,5.0,38.99,38.55
6,312,2.175,1.496,4.7,40.623,36.157
6,313,3.998,1.808,0.142,33.428,25.611
6,314,1.803,4.247,2.331,40.005,28.42
6,320,3.964,0.1,4.529,41.543,38.882
6,330,2.442,5.0,5.0,36.27,35.577
6,369,0.5,5.0,5.0,37.562,31.651
6,391,1.403,4.753,2.749,38.599,37.745
6,412,3.946,0.1,5.0,41.667,33.0
